family,outcome,direction,estimate,se,ci_lo,ci_hi,mde80,benchmark,sesoi,rules_out_meaningful
H2,n_filers,1,-121.4679523683109,37.252921769744646,-194.48233735589855,-48.45356738072327,104.3672349616354,149.02296395499184,37.25574098874796,True
H2,log_shares,1,-0.3996198444790026,0.4488915252153591,-1.27943106686636,0.4801913779083547,1.2576078615795347,0.395811692777512,0.098952923194378,False
H3,n_filers,-1,-12.084307241562438,18.08583929491635,-47.53190088977777,23.363286406652893,50.66902002580432,33.4560233624382,8.36400584060955,False
H3,log_shares,-1,-0.1289919828480159,0.1604224493642434,-0.44341420591363345,0.18543024021760166,0.44943716279234047,0.0575214301368416,0.0143803575342104,False
H4,n_filers_esg,1,-0.2128146000929803,0.1135717159512185,-0.43541107301978177,0.00978187283382112,0.31818084060465857,0.3095636522078998,0.07739091305197494,True
H4,n_filers_passive,1,-0.3123971219249443,0.2361698870349132,-0.7752815947462672,0.15048735089637866,0.6616500644804224,0.4124749382613818,0.10311873456534545,False
H4,log_shares_passive,1,-0.7486718347517152,0.6577426751821318,-2.0378237892037205,0.5404801197002904,1.8427221561123401,0.9066357588322556,0.2266589397080639,False
H4,log_shares_esg,1,-1.1302877981678674,0.507976608294478,-2.125903655413855,-0.13467194092188006,1.423139756944971,1.3329993380222669,0.3332498345055667,True
