outcome,control_pool,att_esg,se_esg,att_sp500,se_sp500,esg_specific,se,z,p_value,esg_pretrend_pass,sp_pretrend_pass,supported
n_filers_esg,matched_cem,0.09674905211491953,0.041815999709351515,0.30956365220789983,0.10559335600506208,-0.2128146000929803,0.11357171595121852,-1.8738345045732048,0.060953238997668024,False,True,False
n_filers_passive,matched_cem,0.10007781633643754,0.0708636867081166,0.4124749382613818,0.22528771259928396,-0.3123971219249443,0.2361698870349132,-1.3227644127160139,0.18591373531341226,False,False,False
log_shares_passive,matched_cem,0.15796392408054036,0.1801442911085451,0.9066357588322556,0.6325926502392729,-0.7486718347517152,0.6577426751821318,-1.1382442754598592,0.25501849545593647,False,False,False
log_shares_esg,matched_cem,0.20271153985439952,0.2269860021526597,1.3329993380222669,0.4544420638553546,-1.1302877981678674,0.507976608294478,-2.22507843808554,0.026075972950512102,True,True,False
