outcome,arm,control_pool,real_post_att,n_draws,placebo_mean,placebo_sd,emp_p_two_sided
n_filers,esg,matched_cem,27.555011586680934,300,1.588087173399786,10.951488984066218,0.013333333333333334
log_shares,esg,matched_cem,-0.0038081517014905662,300,-0.0456575078159573,0.09019214536513531,0.9666666666666667
